Date,Model,Device,Type,TPT,FPT,CPT,ACMDR,SCT,AIT,SIM,NIGHT,HLL,LLL,P,6.0,F,1,2.0,A,B,Record,T&R,Role,Sorties,NT,SIT,IPT,NVG,Mission Code,CAT/JATO,Remarks,DayLdg,NPS,PS,NightLdg,NPA,PA,ShipArrest,Time,Approaches,PIC,SIC
2013-09-20 00:00:00,KC-130J,2F199-3,Simulator,2.0,1.0,1.0,,,,1.0,,,,,5.0,,,,1.0,1.0,6aaf1677,"6130, 6120, 6110",COPILOT,1,,,,,,,,,,,,,,,,,,2.0
2013-10-17 00:00:00,KC-130J,167923,Aircraft,4.1,2.0,2.1,,,,,0.5,,,,,1.0,,,,,GL3122K,,COPILOT,1,,,,,,,,,,,,,,,,,,4.1
2013-10-18 00:00:00,KC-130J,2F199-3,Simulator,2.2,1.1,1.1,,,,,2.2,,2.2,,,,,,,,7149c2c7,"2151, 3703, 3704, 2400, 3705, 2251, 3702",COPILOT,1,,,,,,,,,,,,,,,,,,2.2
2013-10-21 00:00:00,KC-130J,167982,Aircraft,7.2,3.6,3.6,,,,1.0,2.5,,,,2.0,,,,1.0,1.0,GL3122U,,COPILOT,1,,,,,,,,,,,,,,,,,,7.2
2013-10-30 00:00:00,KC-130J,168075,Aircraft,2.1,1.0,1.1,,,0.3,0.3,0.5,,,,,,,,,,GL3124C,3600,COPILOT,1,,,,,,,,,,,,,,,,,,2.1
2013-11-06 00:00:00,KC-130J,167983,Aircraft,,,,,2.7,,,,,,,,,,,,,GL3125F,,OTHER,1,,,,,,,,,,,,,,,,,,
2013-11-12 00:00:00,KC-130J,167923,Aircraft,6.2,3.1,3.1,,,0.8,0.3,,,,,1.0,,,,1.0,,GL3125T,,COPILOT,1,,,,,,,,,,,,,,,,,,6.2
2013-11-15 00:00:00,KC-130J,167982,Aircraft,9.7,4.8,4.9,,,1.0,0.9,4.5,,,,,,,,,,GL3126K,2162,COPILOT,1,,,,,,,,,,,,,,,,,,9.7
2013-11-16 00:00:00,KC-130J,167982,Aircraft,2.9,1.4,1.5,,,,0.3,1.4,,,,,1.0,,,,1.0,GL3126T,2162,COPILOT,1,,,,,,,,,,,,,,,,,,2.9
2013-11-22 00:00:00,KC-130J,166514,Aircraft,10.9,5.4,5.5,,,,0.6,3.0,,,,2.0,,,,1.0,,GL3127U,2162,COPILOT,1,,,,,,,,,,,,,,,,,,10.9
2013-12-01 00:00:00,KC-130J,167927,Aircraft,,,,,7.5,,,,,,,,,,,,,GL31297,,OTHER,1,,,,,,,,,,,,,,,,,,
2013-12-02 00:00:00,KC-130J,167927,Aircraft,11.0,5.5,5.5,,,,1.0,5.2,,,,,,,,,,GL3129D,2162,COPILOT,1,,,,,,,,,,,,,,,,,,11.0
2013-12-04 00:00:00,KC-130J,168075,Aircraft,12.2,6.1,6.1,,,,0.5,3.0,,,,,,,,,,GL3129H,2162,COPILOT,1,,,,,,,,,,,,,,,,,,12.2
2013-12-06 00:00:00,KC-130J,167927,Aircraft,2.3,1.1,1.2,,,,,,,,,1.0,,,,,,GL3129Q,3600,COPILOT,1,,,,,,,,,,,,,,,,,,2.3
2013-12-07 00:00:00,KC-130J,167927,Aircraft,2.4,1.2,1.2,,,,0.3,,,,,,,,,,,GL312A1,,COPILOT,1,,,,,,,,,,,,,,,,,,2.4
2013-12-08 00:00:00,KC-130J,167925,Aircraft,1.6,0.8,0.8,,,,,,,,,10.0,,,,,,GL312A7,"3500, 3503",COPILOT,1,,,,,,,,,,,,,,,,,,1.6
2013-12-09 00:00:00,KC-130J,167925,Aircraft,3.6,1.8,1.8,,,,0.3,2.1,1.0,,1.0,,,,,,1.0,GL312AG,"2350, 2150, 2300, 3600",COPILOT,1,,,,,,,,,,,,,,,,,,3.6
2013-12-11 00:00:00,KC-130J,167925,Aircraft,2.1,1.0,1.1,,,,,,,,,,,,,,,GL312AQ,,COPILOT,1,,,,,,,,,,,,,,,,,,2.1
2013-12-12 00:00:00,KC-130J,168075,Aircraft,1.1,0.5,0.6,,,,,,,,,,,,,,,GL312B3,,COPILOT,1,,,,,,,,,,,,,,,,,,1.1
2013-12-13 00:00:00,KC-130J,167927,Aircraft,,,,,1.8,,,,,,,,,,,,,GL312BG,3502,OTHER,1,,,,,,,,,,,,,,,,,,
2013-12-16 00:00:00,KC-130J,168075,Aircraft,9.6,4.8,4.8,,,,0.3,2.0,,,,,1.0,,,,,GL312BO,2162,COPILOT,1,,,,,,,,,,,,,,,,,,9.6
2013-12-19 00:00:00,KC-130J,168075,Aircraft,8.5,4.2,4.3,,,,0.3,1.2,,,,1.0,1.0,,,1.0,,GL312C9,2162,COPILOT,1,,,,,,,,,,,,,,,,,,8.5
2013-12-20 00:00:00,KC-130J,168075,Aircraft,,,,,7.7,,,,,,,,,,,,,GL312CC,,OTHER,1,,,,,,,,,,,,,,,,,,
2014-01-08 00:00:00,KC-130J,167927,Aircraft,6.2,3.1,3.1,,,,0.3,1.0,,,,,1.0,,,,1.0,GL312D7,2162,COPILOT,1,,,,,,,,,,,,,,,,,,6.2
2014-01-09 00:00:00,KC-130J,2F199-3,Simulator,2.5,1.2,1.3,,,,1.2,,,,,,,,,,,b0ef55d4,6120,COPILOT,1,,,,,,,,,,,,,,,,,,2.5
2014-01-22 00:00:00,KC-130J,2F199-3,Simulator,3.0,1.5,1.5,,,,1.5,,,,,3.0,,,,2.0,,ad879a36,6120,COPILOT,1,,,,,,,,,,,,,,,,,,3.0
2014-01-23 00:00:00,KC-130J,2F199-3,Simulator,,,,,2.0,,,,,,,2.0,,,,,,4f23791b,"3702, 2400",OTHER,1,,,,,,,,,,,,,,,,,,
2014-01-26 00:00:00,KC-130J,168074,Aircraft,7.2,3.6,3.6,,,,1.2,,,,,3.0,,,,2.0,1.0,GL312GG,,COPILOT,1,,,,,,,,,,,,,,,,,,7.2
2014-02-06 00:00:00,KC-130J,2F199-3,Simulator,3.0,1.5,1.5,,,,1.5,,,,,1.0,,,,2.0,,b08dd170,6120,COPILOT,1,,,,,,,,,,,,,,,,,,3.0
2014-02-11 00:00:00,KC-130J,167927,Aircraft,2.5,1.2,1.3,,,0.5,,,,,,,,,,,,GL312IK,"2201, 3600, 4600",COPILOT,1,,,,,,,,,,,,,,,,,,2.5
2014-02-12 00:00:00,KC-130J,167982,Aircraft,3.8,1.9,1.9,,,,,1.5,1.5,,1.0,,,,,,,GL312IV,"4600, 2350, 2150, 2300, 3600",COPILOT,1,,,,,,,,,,,,,,,,,,3.8
2014-02-17 00:00:00,KC-130J,167927,Aircraft,1.7,0.8,0.9,,,,,,,,,1.0,,,,,,GL312JC,"4200, 2301",COPILOT,1,,,,,,,,,,,,,,,,,,1.7
